sample_id,safe_id,word_idx,word
-3g5yACwYnA$_$13,-3g5yACwYnA__13,0,They've
-3g5yACwYnA$_$13,-3g5yACwYnA__13,1,been
-3g5yACwYnA$_$13,-3g5yACwYnA__13,2,able
-3g5yACwYnA$_$13,-3g5yACwYnA__13,3,to
-3g5yACwYnA$_$13,-3g5yACwYnA__13,4,find
-3g5yACwYnA$_$13,-3g5yACwYnA__13,5,solutions
-3g5yACwYnA$_$13,-3g5yACwYnA__13,6,or
-3g5yACwYnA$_$13,-3g5yACwYnA__13,7,at
-3g5yACwYnA$_$13,-3g5yACwYnA__13,8,least
-3g5yACwYnA$_$13,-3g5yACwYnA__13,9,bring
-3g5yACwYnA$_$13,-3g5yACwYnA__13,10,some
-3g5yACwYnA$_$13,-3g5yACwYnA__13,11,answers
-3g5yACwYnA$_$13,-3g5yACwYnA__13,12,to
-3g5yACwYnA$_$13,-3g5yACwYnA__13,13,the
-3g5yACwYnA$_$13,-3g5yACwYnA__13,14,table
-3g5yACwYnA$_$3,-3g5yACwYnA__3,0,We're
-3g5yACwYnA$_$3,-3g5yACwYnA__3,1,a
-3g5yACwYnA$_$3,-3g5yACwYnA__3,2,huge
-3g5yACwYnA$_$3,-3g5yACwYnA__3,3,user
-3g5yACwYnA$_$3,-3g5yACwYnA__3,4,of
-3g5yACwYnA$_$3,-3g5yACwYnA__3,5,adhesives
-3g5yACwYnA$_$3,-3g5yACwYnA__3,6,for
-3g5yACwYnA$_$3,-3g5yACwYnA__3,7,our
-3g5yACwYnA$_$3,-3g5yACwYnA__3,8,operation
-3g5yACwYnA$_$3,-3g5yACwYnA__3,9,called
-3g5yACwYnA$_$3,-3g5yACwYnA__3,10,flocking
-3g5yACwYnA$_$3,-3g5yACwYnA__3,11,and
-3g5yACwYnA$_$3,-3g5yACwYnA__3,12,we
-3g5yACwYnA$_$3,-3g5yACwYnA__3,13,don't
-3g5yACwYnA$_$3,-3g5yACwYnA__3,14,have
-3g5yACwYnA$_$3,-3g5yACwYnA__3,15,the
-3g5yACwYnA$_$3,-3g5yACwYnA__3,16,technical
-3g5yACwYnA$_$3,-3g5yACwYnA__3,17,inside
-3g5yACwYnA$_$3,-3g5yACwYnA__3,18,compounding
-3g5yACwYnA$_$3,-3g5yACwYnA__3,19,or
-3g5yACwYnA$_$3,-3g5yACwYnA__3,20,the
-3g5yACwYnA$_$3,-3g5yACwYnA__3,21,technical
-3g5yACwYnA$_$3,-3g5yACwYnA__3,22,expertise
-3g5yACwYnA$_$3,-3g5yACwYnA__3,23,to
-3g5yACwYnA$_$3,-3g5yACwYnA__3,24,do
-3g5yACwYnA$_$3,-3g5yACwYnA__3,25,these
-3g5yACwYnA$_$3,-3g5yACwYnA__3,26,types
-3g5yACwYnA$_$3,-3g5yACwYnA__3,27,of
-3g5yACwYnA$_$3,-3g5yACwYnA__3,28,things
-3g5yACwYnA$_$2,-3g5yACwYnA__2,0,Key
-3g5yACwYnA$_$2,-3g5yACwYnA__2,1,Polymer
-3g5yACwYnA$_$2,-3g5yACwYnA__2,2,brings
-3g5yACwYnA$_$2,-3g5yACwYnA__2,3,a
-3g5yACwYnA$_$2,-3g5yACwYnA__2,4,technical
-3g5yACwYnA$_$2,-3g5yACwYnA__2,5,aspect
-3g5yACwYnA$_$2,-3g5yACwYnA__2,6,to
-3g5yACwYnA$_$2,-3g5yACwYnA__2,7,our
-3g5yACwYnA$_$2,-3g5yACwYnA__2,8,operation
-3g5yACwYnA$_$2,-3g5yACwYnA__2,9,that
-3g5yACwYnA$_$2,-3g5yACwYnA__2,10,we
-3g5yACwYnA$_$2,-3g5yACwYnA__2,11,don't
-3g5yACwYnA$_$2,-3g5yACwYnA__2,12,have
-3g5yACwYnA$_$2,-3g5yACwYnA__2,13,internally
